x1,y1,z1
-1,-1,-1
1,1,1
0,0,0
0.251384,0.244173,75.016013
0.398395,0.100577,87.954756
-0.286635,-0.302580,19.864861
-0.269960,-0.121356,6.499315
-0.409312,-0.655261,60.250430
0.504012,0.003494,107.889822
-0.067234,0.315386,25.147855
-0.099803,0.211974,1.692457
-0.208375,-0.275045,11.837289
-0.527000,0.150131,42.732905
0.568627,-0.039579,122.013038
0.120049,0.402346,89.876875
0.427902,0.070529,92.831298
-0.429249,0.222125,37.691148
0.225807,0.273620,75.939366
0.280522,0.051297,22.239096
0.302753,-0.036239,23.778551
-0.137720,0.197028,1.632542
-0.604254,0.053023,47.303473
-0.011661,0.582006,124.607278
-0.343907,-0.668495,58.626330
-0.681130,-0.383201,60.946772
-0.031150,0.310354,24.324426
-0.656634,-0.438594,61.579781
0.108333,0.256259,21.696567
0.299271,0.192184,76.132694
0.324951,0.169527,78.454866
-0.463976,-0.633313,61.224414
0.417652,0.076373,90.883789
-0.505224,-0.609755,61.753262
-0.519092,0.157345,42.299976
0.139403,0.203785,4.591871
-0.108761,0.230999,4.116250
-0.145491,0.208147,3.611435
-0.194704,-0.205535,5.265330
-0.301571,-0.169662,11.870071
-0.480563,0.190566,40.315529
-0.696528,-0.313112,59.554332
0.457960,0.039912,98.401062
0.310663,-0.082474,25.066070
-0.028010,0.279067,13.367587
-0.672586,-0.075968,52.784737
-0.240401,-0.176187,6.544741
-0.642527,-0.470899,62.123174
-0.049944,0.234280,2.305193
0.045346,0.502677,108.038490
0.145958,0.213366,12.321097
-0.164348,0.235125,9.840908
-0.331667,-0.672208,58.455450
-0.562544,-0.566474,62.258162
0.019357,-0.374497,17.872931
0.039644,-0.259424,3.015744
0.601129,-0.072395,129.605625
0.533016,-0.010199,114.116593
-0.157022,0.224644,7.341026
-0.180534,-0.365897,19.446425
-0.278863,-0.204375,11.860322
-0.599931,-0.528791,62.365007
0.344060,0.151060,80.434302
0.210517,0.170533,21.127729
0.351904,0.140906,81.141608
-0.085393,0.276016,13.770533
-0.177844,0.254433,14.795395
-0.293386,-0.098029,8.285121
0.334729,0.156475,79.093220
0.086102,0.447789,97.608273
0.164107,0.198855,12.288408
0.272887,0.221057,75.174461
-0.391636,-0.088594,19.137579
-0.361944,-0.203628,19.793441
0.465056,0.037689,99.874867
-0.629393,-0.490593,62.232273
0.621181,-0.095602,134.533694
0.152401,0.360500,83.779844
0.527847,-0.022556,113.092407
-0.533505,0.138885,42.991758
0.243011,0.126779,21.374991
-0.574586,0.093587,45.399257
-0.613250,-0.512010,62.301227
0.487159,0.018176,104.352356
-0.475710,-0.627916,61.433688
0.175717,0.329468,79.928327
-0.128244,0.229248,5.768070
-0.667635,-0.064079,52.304411
0.372892,0.123780,84.102721
-0.455332,0.207662,39.027378
0.184402,0.179112,12.252374
-0.637119,0.002748,49.685830
0.026480,0.293541,22.984626
-0.237146,-0.250337,11.829166
-0.252625,-0.674518,56.170183
-0.313330,-0.276176,19.906822
-0.376155,-0.169094,19.656270
-0.548926,-0.579460,62.245765
-0.006082,0.303568,23.678375
0.099038,0.234273,8.725245
0.203942,0.298130,77.319867
0.470347,0.028493,100.865646
-0.222888,-0.196458,6.524095
0.385277,0.106986,85.591723
-0.552961,-0.575842,62.258742
0.054396,0.282895,22.465563
0.230155,0.120072,12.372615
-0.324730,-0.108502,11.745087
-0.439730,0.218665,38.297969
-0.351619,0.100168,17.425444
0.578274,-0.059813,124.443917
0.360917,0.130636,82.161857
-0.587516,-0.542200,62.346420
0.269939,0.074959,21.847629
-0.078192,0.252742,7.086022
-0.218187,0.312149,29.699980
-0.386229,-0.129051,19.408651
0.591100,-0.070754,127.432327
0.069222,0.231998,2.329838
-0.700299,-0.278809,58.781499
0.075283,0.252311,12.549402
0.119634,0.224312,8.720918
-0.059099,0.277225,13.509835
-0.119537,0.213682,2.813605
0.434941,0.064530,94.121212
0.193296,0.187751,21.014437
0.402099,0.094362,88.410432
